"size_class","count","min_size_class","max_size_class","mp_size_class","size_width","n_s","db","min_d","max_d","mp"
"(1.6,1.65]",1,1.6,1.65,1.625,0.0499999999999998,0.0110662313948985,"(250,300]",250,300,275
"(1.9,1.95]",1,1.9,1.95,1.925,0.05,0.0110662313948985,"(250,300]",250,300,275
"(0.104,0.154]",100,0.104,0.154,0.129,0.05,1.13707430780602,"(300,350]",300,350,325
"(0.154,0.204]",50,0.154,0.204,0.179,0.05,0.568537153903008,"(300,350]",300,350,325
"(0.204,0.254]",100,0.204,0.254,0.229,0.05,1.13707430780601,"(300,350]",300,350,325
"(0.254,0.304]",148,0.254,0.304,0.279,0.05,1.6828699755529,"(300,350]",300,350,325
"(0.304,0.354]",129,0.304,0.354,0.329,0.05,1.46682585706976,"(300,350]",300,350,325
"(0.354,0.404]",112,0.354,0.404,0.379,0.05,1.27352322474274,"(300,350]",300,350,325
"(0.404,0.454]",61,0.404,0.454,0.429,0.05,0.693615327761669,"(300,350]",300,350,325
"(0.454,0.504]",35,0.454,0.504,0.479,0.05,0.397976007732105,"(300,350]",300,350,325
"(0.504,0.554]",19,0.504,0.554,0.529,0.05,0.216044118483143,"(300,350]",300,350,325
"(0.554,0.604]",14,0.554,0.604,0.579,0.0499999999999999,0.159190403092842,"(300,350]",300,350,325
"(0.604,0.654]",9,0.604,0.654,0.629,0.05,0.102336687702541,"(300,350]",300,350,325
"(0.654,0.704]",4,0.654,0.704,0.679,0.0499999999999999,0.0454829723122407,"(300,350]",300,350,325
"(0.704,0.754]",6,0.704,0.754,0.729,0.05,0.0682244584683609,"(300,350]",300,350,325
"(0.754,0.804]",2,0.754,0.804,0.779,0.05,0.0227414861561203,"(300,350]",300,350,325
"(0.804,0.854]",3,0.804,0.854,0.829,0.0499999999999999,0.0341122292341805,"(300,350]",300,350,325
"(0.854,0.904]",3,0.854,0.904,0.879,0.05,0.0341122292341804,"(300,350]",300,350,325
"(0.904,0.954]",1,0.904,0.954,0.929,0.0499999999999999,0.0113707430780602,"(300,350]",300,350,325
"(1,1.05]",1,1,1.05,1.025,0.05,0.0113707430780601,"(300,350]",300,350,325
